dt,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-31 15:00:00+09:00,,60.0,4.0,60.0,3.0,,,30.0,,4.0,247.0,1.7,-999.0,4.3
2025-08-31 16:00:00+09:00,,60.0,4.0,65.0,3.0,,,30.0,,3.5,242.0,1.9,-999.0,4.0
2025-08-31 17:00:00+09:00,,20.0,0.0,65.0,3.0,,,30.0,,2.3,230.0,1.9,-999.0,3.0
2025-08-31 18:00:00+09:00,,20.0,0.0,70.0,3.0,,,29.0,,1.0,208.0,1.9,-999.0,2.1
2025-08-31 19:00:00+09:00,,60.0,1.0,75.0,4.0,,,27.0,,0.0,180.0,1.4,-999.0,1.4
2025-08-31 20:00:00+09:00,,60.0,1.0,80.0,4.0,,,26.0,,0.0,176.0,1.3,-999.0,1.3
2025-08-31 21:00:00+09:00,,60.0,1.0,80.0,4.0,,,26.0,,0.0,174.0,1.0,-999.0,1.0
2025-08-31 22:00:00+09:00,,60.0,1.0,80.0,4.0,,,25.0,,0.6,202.0,1.5,-999.0,1.6
2025-08-31 23:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,0.7,205.0,1.5,-999.0,1.7
2025-09-01 00:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,0.3,191.0,1.5,-999.0,1.5
2025-09-01 01:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,-0.3,167.0,1.8,-999.0,1.8
2025-09-01 02:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,-0.1,173.0,1.6,-999.0,1.6
2025-09-01 03:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,-0.1,173.0,1.6,-999.0,1.6
2025-09-01 04:00:00+09:00,,60.0,1.0,90.0,4.0,,,24.0,,0.1,183.0,1.9,-999.0,1.9
2025-09-01 05:00:00+09:00,,60.0,1.0,90.0,4.0,,,24.0,,-0.1,174.0,2.0,-999.0,2.0
2025-09-01 06:00:00+09:00,,60.0,1.0,90.0,4.0,,24.0,24.0,,-0.5,165.0,2.2,-999.0,2.3
2025-09-01 07:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,0.0,180.0,2.9,-999.0,2.9
2025-09-01 08:00:00+09:00,,60.0,1.0,90.0,4.0,,,25.0,,-0.2,174.0,2.9,-999.0,2.9
2025-09-01 09:00:00+09:00,,60.0,1.0,85.0,4.0,,,25.0,,0.1,182.0,3.3,-999.0,3.3
2025-09-01 10:00:00+09:00,,60.0,1.0,85.0,4.0,,,26.0,,1.6,203.0,3.7,-999.0,4.0
2025-09-01 11:00:00+09:00,,60.0,1.0,80.0,4.0,,,26.0,,1.5,203.0,3.6,-999.0,3.9
2025-09-01 12:00:00+09:00,,60.0,1.0,75.0,4.0,,,27.0,,1.5,200.0,4.1,-999.0,4.4
2025-09-01 13:00:00+09:00,,60.0,1.0,70.0,4.0,,,27.0,,3.9,225.0,3.9,-999.0,5.5
2025-09-01 14:00:00+09:00,,30.0,0.0,60.0,4.0,,,28.0,,1.9,225.0,1.9,-999.0,2.7
2025-09-01 15:00:00+09:00,,20.0,0.0,60.0,3.0,,,27.0,30.0,1.8,221.0,2.1,-999.0,2.8
2025-09-01 16:00:00+09:00,,30.0,0.0,60.0,4.0,,,28.0,,2.0,224.0,2.1,-999.0,2.9
2025-09-01 17:00:00+09:00,,30.0,0.0,65.0,4.0,,,27.0,,2.3,242.0,1.2,-999.0,2.6
2025-09-01 18:00:00+09:00,,30.0,0.0,70.0,4.0,,,27.0,,1.9,250.0,0.7,-999.0,2.0
2025-09-01 19:00:00+09:00,,30.0,0.0,75.0,4.0,,,25.0,,1.4,247.0,0.6,-999.0,1.5
2025-09-01 20:00:00+09:00,,30.0,0.0,80.0,4.0,,,23.0,,0.9,232.0,0.7,-999.0,1.1
2025-09-01 21:00:00+09:00,,30.0,0.0,85.0,4.0,,,23.0,,0.4,204.0,0.9,-999.0,1.0
2025-09-01 22:00:00+09:00,,30.0,0.0,85.0,4.0,,,22.0,,0.0,174.0,0.9,-999.0,0.9
